Destination,Region,Country,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,GDP(billion euros),GDP per capita,Tourist_rank,Safty_Rank,Season,Tourism_Suitable_Percentage,Weather_Rank,Recommendation_Score,Avg_Rank,T1,S2,W3
Majorca,Balearic Islands,Spain,Island,39.363371,3.014272,12000000,Euro,Roman Catholic,"Paella, Ensalada Mallorquina, Sobrasada",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","A popular island destination known for its beautiful beaches, historical sites, and hiking trails.","A serene island getaway, with picturesque beaches, mountains, and historic sites like the Palma Cathedral.",30.3,29603,8,3,Autumn,0.597527473,3,26,0.269099617,0.24137931,0.5,0.074074074
Majorca,Balearic Islands,Spain,Island,39.363371,3.014272,12000000,Euro,Roman Catholic,"Paella, Ensalada Mallorquina, Sobrasada",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","A popular island destination known for its beautiful beaches, historical sites, and hiking trails.","A serene island getaway, with picturesque beaches, mountains, and historic sites like the Palma Cathedral.",30.3,29603,8,3,Spring,0.744112319,3,26,0.269099617,0.24137931,0.5,0.074074074
Majorca,Balearic Islands,Spain,Island,39.363371,3.014272,12000000,Euro,Roman Catholic,"Paella, Ensalada Mallorquina, Sobrasada",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","A popular island destination known for its beautiful beaches, historical sites, and hiking trails.","A serene island getaway, with picturesque beaches, mountains, and historic sites like the Palma Cathedral.",30.3,29603,8,3,Summer,0.636775362,4,25,0.281321839,0.24137931,0.5,0.111111111
Majorca,Balearic Islands,Spain,Island,39.363371,3.014272,12000000,Euro,Roman Catholic,"Paella, Ensalada Mallorquina, Sobrasada",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","A popular island destination known for its beautiful beaches, historical sites, and hiking trails.","A serene island getaway, with picturesque beaches, mountains, and historic sites like the Palma Cathedral.",30.3,29603,8,3,Winter,0.951851852,4,25,0.281321839,0.24137931,0.5,0.111111111
Copenhagen,Region Hovedstaden,Denmark,City,55.676098,12.568337,10000000,Danish krone (DKK),Protestant,"Smørrebrød, Frikadeller, Æblekage",Danish,Spring (April-May) or Fall (Sept-Oct),High,Generally safe,"Known for its colorful architecture, charming canals, and vibrant culture.","Denmark's capital, famous for Nyhavn, the Little Mermaid statue, and a lively café scene.",,,9,1,Autumn,0.518772894,10,19,0.201034483,0.275862069,0,0.333333333
Copenhagen,Region Hovedstaden,Denmark,City,55.676098,12.568337,10000000,Danish krone (DKK),Protestant,"Smørrebrød, Frikadeller, Æblekage",Danish,Spring (April-May) or Fall (Sept-Oct),High,Generally safe,"Known for its colorful architecture, charming canals, and vibrant culture.","Denmark's capital, famous for Nyhavn, the Little Mermaid statue, and a lively café scene.",,,9,1,Spring,0.288043478,23,6,0.359923372,0.275862069,0,0.814814815
Copenhagen,Region Hovedstaden,Denmark,City,55.676098,12.568337,10000000,Danish krone (DKK),Protestant,"Smørrebrød, Frikadeller, Æblekage",Danish,Spring (April-May) or Fall (Sept-Oct),High,Generally safe,"Known for its colorful architecture, charming canals, and vibrant culture.","Denmark's capital, famous for Nyhavn, the Little Mermaid statue, and a lively café scene.",,,9,1,Summer,0.203351449,22,7,0.347701149,0.275862069,0,0.777777778
Copenhagen,Region Hovedstaden,Denmark,City,55.676098,12.568337,10000000,Danish krone (DKK),Protestant,"Smørrebrød, Frikadeller, Æblekage",Danish,Spring (April-May) or Fall (Sept-Oct),High,Generally safe,"Known for its colorful architecture, charming canals, and vibrant culture.","Denmark's capital, famous for Nyhavn, the Little Mermaid statue, and a lively café scene.",,,9,1,Winter,0.880555556,9,20,0.188812261,0.275862069,0,0.296296296
Brussels,Brussels Capital,Belgium,City,50.850441,4.356949,10000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital of Belgium and the EU, known for its Grand Place, Manneken Pis, and Atomium.","A political and cultural hub with impressive architecture, museums, and a vibrant arts scene.",90.189,66200,9,3,Autumn,0.529761905,9,20,0.353812261,0.275862069,0.5,0.296296296
Brussels,Brussels Capital,Belgium,City,50.850441,4.356949,10000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital of Belgium and the EU, known for its Grand Place, Manneken Pis, and Atomium.","A political and cultural hub with impressive architecture, museums, and a vibrant arts scene.",90.189,66200,9,3,Spring,0.436594203,10,19,0.366034483,0.275862069,0.5,0.333333333
Brussels,Brussels Capital,Belgium,City,50.850441,4.356949,10000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital of Belgium and the EU, known for its Grand Place, Manneken Pis, and Atomium.","A political and cultural hub with impressive architecture, museums, and a vibrant arts scene.",90.189,66200,9,3,Summer,0.38134058,17,12,0.451590038,0.275862069,0.5,0.592592593
Brussels,Brussels Capital,Belgium,City,50.850441,4.356949,10000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital of Belgium and the EU, known for its Grand Place, Manneken Pis, and Atomium.","A political and cultural hub with impressive architecture, museums, and a vibrant arts scene.",90.189,66200,9,3,Winter,0.846759259,10,19,0.366034483,0.275862069,0.5,0.333333333
Munich,Bavaria,Germany,City,48.137152,11.576123,10000000,Euro,Protestant,"Weißwurst, Brezn, Leberkäse",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A Bavarian city famous for its Oktoberfest, beer gardens, and historical architecture.","Known for its beer culture, historic Marienplatz, and beautiful English Garden.",128.752,86529,9,1,Autumn,0.475274725,14,15,0.249923372,0.275862069,0,0.481481481
Munich,Bavaria,Germany,City,48.137152,11.576123,10000000,Euro,Protestant,"Weißwurst, Brezn, Leberkäse",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A Bavarian city famous for its Oktoberfest, beer gardens, and historical architecture.","Known for its beer culture, historic Marienplatz, and beautiful English Garden.",128.752,86529,9,1,Spring,0.381793478,15,14,0.262145594,0.275862069,0,0.518518519
Munich,Bavaria,Germany,City,48.137152,11.576123,10000000,Euro,Protestant,"Weißwurst, Brezn, Leberkäse",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A Bavarian city famous for its Oktoberfest, beer gardens, and historical architecture.","Known for its beer culture, historic Marienplatz, and beautiful English Garden.",128.752,86529,9,1,Summer,0.441123188,13,16,0.237701149,0.275862069,0,0.444444444
Munich,Bavaria,Germany,City,48.137152,11.576123,10000000,Euro,Protestant,"Weißwurst, Brezn, Leberkäse",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A Bavarian city famous for its Oktoberfest, beer gardens, and historical architecture.","Known for its beer culture, historic Marienplatz, and beautiful English Garden.",128.752,86529,9,1,Winter,0.706481481,12,17,0.225478927,0.275862069,0,0.407407407
Loire Valley,Centre-Val de Loire,France,Region,47.6268,-0.9361,10000000,Euro,Roman Catholic,"Croque-monsieur, French onion soup",French,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A region known for its stunning chateaux, vineyards, and picturesque landscapes.","Known for its many châteaux and vineyards, a scenic getaway filled with history and beauty.",118.65,46122,9,1,Autumn,0.571428571,7,22,0.164367816,0.275862069,0,0.222222222
Loire Valley,Centre-Val de Loire,France,Region,47.6268,-0.9361,10000000,Euro,Roman Catholic,"Croque-monsieur, French onion soup",French,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A region known for its stunning chateaux, vineyards, and picturesque landscapes.","Known for its many châteaux and vineyards, a scenic getaway filled with history and beauty.",118.65,46122,9,1,Spring,0.49365942,9,20,0.188812261,0.275862069,0,0.296296296
Loire Valley,Centre-Val de Loire,France,Region,47.6268,-0.9361,10000000,Euro,Roman Catholic,"Croque-monsieur, French onion soup",French,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A region known for its stunning chateaux, vineyards, and picturesque landscapes.","Known for its many châteaux and vineyards, a scenic getaway filled with history and beauty.",118.65,46122,9,1,Summer,0.457880435,12,17,0.225478927,0.275862069,0,0.407407407
Loire Valley,Centre-Val de Loire,France,Region,47.6268,-0.9361,10000000,Euro,Roman Catholic,"Croque-monsieur, French onion soup",French,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A region known for its stunning chateaux, vineyards, and picturesque landscapes.","Known for its many châteaux and vineyards, a scenic getaway filled with history and beauty.",118.65,46122,9,1,Winter,0.90462963,7,22,0.164367816,0.275862069,0,0.222222222
Venice,Veneto,Italy,City,45.435559,12.336196,10000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A unique city built on canals, known for its gondolas, Piazza San Marco, and Doge's Palace.","An iconic city of water, renowned for romantic gondola rides and historic landmarks.",163,33500,9,3,Autumn,0.630494505,2,27,0.268256705,0.275862069,0.5,0.037037037
Venice,Veneto,Italy,City,45.435559,12.336196,10000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A unique city built on canals, known for its gondolas, Piazza San Marco, and Doge's Palace.","An iconic city of water, renowned for romantic gondola rides and historic landmarks.",163,33500,9,3,Spring,0.666666667,4,25,0.292701149,0.275862069,0.5,0.111111111
Venice,Veneto,Italy,City,45.435559,12.336196,10000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A unique city built on canals, known for its gondolas, Piazza San Marco, and Doge's Palace.","An iconic city of water, renowned for romantic gondola rides and historic landmarks.",163,33500,9,3,Summer,0.745923913,1,28,0.256034483,0.275862069,0.5,0
Venice,Veneto,Italy,City,45.435559,12.336196,10000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A unique city built on canals, known for its gondolas, Piazza San Marco, and Doge's Palace.","An iconic city of water, renowned for romantic gondola rides and historic landmarks.",163,33500,9,3,Winter,0.983333333,2,27,0.268256705,0.275862069,0.5,0.037037037
Florence,Tuscany,Italy,City,43.769581,11.255772,10000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A Renaissance city famous for its art, architecture, and historical significance.","Home to world-class museums, including the Uffizi Gallery and Michelangelo’s David.",118.72,30900,9,3,Autumn,0.630494505,2,27,0.268256705,0.275862069,0.5,0.037037037
Florence,Tuscany,Italy,City,43.769581,11.255772,10000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A Renaissance city famous for its art, architecture, and historical significance.","Home to world-class museums, including the Uffizi Gallery and Michelangelo’s David.",118.72,30900,9,3,Spring,0.666666667,4,25,0.292701149,0.275862069,0.5,0.111111111
Florence,Tuscany,Italy,City,43.769581,11.255772,10000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A Renaissance city famous for its art, architecture, and historical significance.","Home to world-class museums, including the Uffizi Gallery and Michelangelo’s David.",118.72,30900,9,3,Summer,0.745923913,1,28,0.256034483,0.275862069,0.5,0
Florence,Tuscany,Italy,City,43.769581,11.255772,10000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A Renaissance city famous for its art, architecture, and historical significance.","Home to world-class museums, including the Uffizi Gallery and Michelangelo’s David.",118.72,30900,9,3,Winter,0.983333333,2,27,0.268256705,0.275862069,0.5,0.037037037
Athens,Attica,Greece,City,37.979452,23.716217,10000000,Euro,Greek Orthodox,"Gyros, Souvlaki, Moussaka",Greek,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for ancient ruins, museums, and vibrant nightlife.",,97.03,25543,9,3,Autumn,0.578754579,5,24,0.304923372,0.275862069,0.5,0.148148148
Athens,Attica,Greece,City,37.979452,23.716217,10000000,Euro,Greek Orthodox,"Gyros, Souvlaki, Moussaka",Greek,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for ancient ruins, museums, and vibrant nightlife.",,97.03,25543,9,3,Spring,0.793931159,2,27,0.268256705,0.275862069,0.5,0.037037037
Athens,Attica,Greece,City,37.979452,23.716217,10000000,Euro,Greek Orthodox,"Gyros, Souvlaki, Moussaka",Greek,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for ancient ruins, museums, and vibrant nightlife.",,97.03,25543,9,3,Summer,0.730525362,2,27,0.268256705,0.275862069,0.5,0.037037037
Athens,Attica,Greece,City,37.979452,23.716217,10000000,Euro,Greek Orthodox,"Gyros, Souvlaki, Moussaka",Greek,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for ancient ruins, museums, and vibrant nightlife.",,97.03,25543,9,3,Winter,0.970833333,3,26,0.280478927,0.275862069,0.5,0.074074074
Antalya,Antalya,Turkey,City,36.522512,30.703761,10000000,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Spring (Apr-May) or Fall (Sep-Oct),Medium-high,Generally safe,Popular coastal city with beaches and ancient ruins.,"A popular coastal city known for its beaches, ancient ruins, and vibrant nightlife.",7.29652,6667.465,9,1,,,8,,0.176590038,0.275862069,0,0.259259259
Golden Ring,Central Russia,Russia,Region,56.021562,39.624312,10000000,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Spring (May-June) or Fall (Sept-Oct),Medium,Generally safe,Group of historic cities known for medieval architecture and cultural heritage.,A historic route offering insights into Russia's medieval past.,,,9,1,,,14,,0.249923372,0.275862069,0,0.481481481
Bruges,West Flanders,Belgium,City,51.205937,3.210851,8000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A medieval city famous for its canals, cobblestone streets, and historic architecture.","A UNESCO World Heritage Site, known as the ""Venice of the North"" for its romantic canals and bridges.",53.844,39000,10,1,Autumn,0.529761905,9,20,0.200191571,0.310344828,0,0.296296296
Bruges,West Flanders,Belgium,City,51.205937,3.210851,8000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A medieval city famous for its canals, cobblestone streets, and historic architecture.","A UNESCO World Heritage Site, known as the ""Venice of the North"" for its romantic canals and bridges.",53.844,39000,10,1,Spring,0.436594203,10,19,0.212413793,0.310344828,0,0.333333333
Bruges,West Flanders,Belgium,City,51.205937,3.210851,8000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A medieval city famous for its canals, cobblestone streets, and historic architecture.","A UNESCO World Heritage Site, known as the ""Venice of the North"" for its romantic canals and bridges.",53.844,39000,10,1,Summer,0.38134058,17,12,0.297969349,0.310344828,0,0.592592593
Bruges,West Flanders,Belgium,City,51.205937,3.210851,8000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A medieval city famous for its canals, cobblestone streets, and historic architecture.","A UNESCO World Heritage Site, known as the ""Venice of the North"" for its romantic canals and bridges.",53.844,39000,10,1,Winter,0.846759259,10,19,0.212413793,0.310344828,0,0.333333333
Ibiza,Balearic Islands,Spain,Island,38.901776,1.433135,8000000,Euro,Roman Catholic,"Paella, Tapas, Ensalada Rusa",Spanish,Summer (June-September),Medium-high,"Generally safe, but be aware of pickpockets","A popular island destination known for its beaches, nightlife, and electronic music scene.","World-famous for its beaches and nightclubs, a top destination for summer parties.",,,10,3,Autumn,0.597527473,3,26,0.291858238,0.310344828,0.5,0.074074074
Ibiza,Balearic Islands,Spain,Island,38.901776,1.433135,8000000,Euro,Roman Catholic,"Paella, Tapas, Ensalada Rusa",Spanish,Summer (June-September),Medium-high,"Generally safe, but be aware of pickpockets","A popular island destination known for its beaches, nightlife, and electronic music scene.","World-famous for its beaches and nightclubs, a top destination for summer parties.",,,10,3,Spring,0.744112319,3,26,0.291858238,0.310344828,0.5,0.074074074
Ibiza,Balearic Islands,Spain,Island,38.901776,1.433135,8000000,Euro,Roman Catholic,"Paella, Tapas, Ensalada Rusa",Spanish,Summer (June-September),Medium-high,"Generally safe, but be aware of pickpockets","A popular island destination known for its beaches, nightlife, and electronic music scene.","World-famous for its beaches and nightclubs, a top destination for summer parties.",,,10,3,Summer,0.636775362,4,25,0.30408046,0.310344828,0.5,0.111111111
